Data,BizikletaID,Hiria,Minutuak,Km_egindakoak
2026-01-03,2,Donostia,58,13.35
2026-01-05,7,Bilbo,42,13.29
2026-01-06,6,Donostia,56,16.51
2026-01-06,2,Baiona,29,7.48
2026-01-06,2,Gasteiz,55,18.89
2026-01-08,10,Gasteiz,77,17.36
2026-01-09,1,Baiona,5,0.82
2026-01-11,8,Bilbo,66,19.28
2026-01-11,5,Bilbo,57,19.27
2026-01-11,1,Gasteiz,86,15.15
2026-01-12,7,Donostia,12,2.03
2026-01-15,3,Gasteiz,74,13.24
2026-01-15,4,Baiona,79,17.82
2026-01-16,6,Baiona,26,7.65
2026-01-18,4,Gasteiz,65,18.01
2026-01-19,8,Donostia,83,17.55
2026-01-20,3,Iruñea,30,10.32
2026-01-23,10,Bilbo,36,6.27
2026-01-23,6,Bilbo,80,15.92
2026-01-24,3,Baiona,37,5.68
2026-01-25,3,Donostia,87,22.53
2026-01-25,8,Iruñea,82,22.68
2026-01-25,8,Iruñea,49,14.67
2026-01-25,5,Baiona,26,7.05
2026-01-27,1,Donostia,54,17.69
2026-01-27,1,Iruñea,64,21.55
2026-01-28,1,Gasteiz,74,25.54
2026-01-30,3,Baiona,10,2.44
2026-02-01,8,Iruñea,13,3.1
2026-02-03,6,Gasteiz,5,0.85
2026-02-04,7,Bilbo,19,5.49
2026-02-04,1,Gasteiz,64,13.9
2026-02-07,2,Gasteiz,67,11.49
2026-02-07,9,Baiona,19,5.98
2026-02-09,5,Donostia,31,6.0
2026-02-10,5,Iruñea,73,17.0
2026-02-10,9,Gasteiz,37,12.71
2026-02-11,9,Donostia,40,8.37
2026-02-11,9,Gasteiz,56,14.42
2026-02-11,5,Iruñea,35,7.74
2026-02-12,1,Iruñea,79,20.49
2026-02-13,9,Iruñea,9,2.5
2026-02-13,4,Baiona,26,7.57
2026-02-14,6,Bilbo,73,16.69
2026-02-17,7,Bilbo,62,20.66
2026-02-17,6,Bilbo,8,1.37
2026-02-17,7,Donostia,27,6.16
2026-02-18,8,Bilbo,5,1.04
2026-02-19,9,Bilbo,17,5.21
2026-02-20,6,Bilbo,63,17.35
2026-02-20,3,Iruñea,64,21.77
2026-02-21,6,Donostia,74,12.35
2026-02-22,5,Bilbo,39,9.39
2026-02-23,2,Iruñea,56,17.96
2026-02-25,9,Baiona,11,2.29
2026-02-25,8,Donostia,7,1.88
2026-02-26,8,Bilbo,5,1.36
2026-03-01,3,Gasteiz,27,6.72
2026-03-02,7,Gasteiz,83,17.45
2026-03-02,3,Iruñea,39,8.42
2026-03-03,10,Iruñea,59,20.4
2026-03-04,6,Gasteiz,62,13.34
2026-03-04,9,Donostia,19,3.47
2026-03-06,9,Bilbo,81,22.03
2026-03-06,4,Iruñea,70,22.48
2026-03-07,3,Gasteiz,74,21.36
2026-03-07,6,Bilbo,17,3.33
2026-03-08,9,Baiona,8,2.12
2026-03-08,2,Donostia,49,8.08
2026-03-12,5,Gasteiz,74,21.92
2026-03-12,4,Iruñea,76,16.69
2026-03-13,7,Donostia,72,17.5
2026-03-16,7,Bilbo,59,9.21
2026-03-17,9,Baiona,55,18.03
2026-03-18,8,Bilbo,11,2.56
2026-03-20,3,Baiona,75,21.82
2026-03-20,8,Baiona,66,17.04
2026-03-22,9,Bilbo,8,1.76
2026-03-23,9,Iruñea,79,16.78
2026-03-23,9,Baiona,24,4.59
2026-03-27,9,Gasteiz,52,8.68
2026-03-28,4,Bilbo,11,2.23
2026-03-28,7,Iruñea,42,13.52
2026-03-29,8,Iruñea,78,21.35
2026-03-29,2,Iruñea,89,21.06
2026-03-29,10,Gasteiz,6,1.72
2026-03-31,6,Bilbo,14,4.87
2026-03-31,1,Donostia,48,16.03
2026-04-01,8,Iruñea,58,12.04
2026-04-02,1,Gasteiz,43,14.54
2026-04-05,7,Donostia,67,13.39
2026-04-06,8,Bilbo,28,8.08
2026-04-07,7,Baiona,83,24.5
2026-04-08,5,Gasteiz,8,1.46
2026-04-08,8,Baiona,85,28.63
